address,quantity
0x5af8d51b7b809E661c516080D020C4d98A993c64,2
0x83e302b730023fE3456cB2dA098CB7E4Aa68FEbC,2
0x96bA3732343Ab59af4272CBc562ae20Ac3860A6B,2
0x9827E68F52b6bcbf9b8E96DEF4a0134e748d97D7,2
0x9AFeFC6Ad149F53956A7EdA3a35B4EfcC6Bf7B25,2
0xA48fF8592E95eA95305790D635e7117557838Be2,2
0xB141e4ef9070EC7341e2f2877C1aD6027653Ab90,2
0xc1857d326520542e64dDf5bDE2687EF664000fFE,2
0xCc6c6BBf1Ea1450439F88dAbA8590C9bB1d5833e,2
0xd1b63F22131641B26b06BFfCAc25dbd1F75A13d6,2
0xE9d70598FdfC4A7F6992E77770b13eD8AA1897eA,2
0xedD9B6a6B6a5CacAC5007AE295D0BcE6323F3A7d,2
0x00cd39130BbEEA5E1Cf1C772383701824940DCba,1
0x02D94B6a0fe1E2BA02B5339c1c2Cb84cE799d3A6,1
0x066E6F1c366c01832D651F1855f1A200B2b73b31,1
0x074b51bed1AF226D894B28e631d039e4C6658f11,1
0x0754E0B5898F76C9Bc03a3646d3C9dEf19a2f04f,1
0x09d9626c1E6E40517f345aa1c49f3B945c572f6e,1
0x0a85a9F8Dd2DbD8938fD1CC5369e983A8580b246,1
0x160Cf6551ee3d910f673AF762D5a2f1bd4855be1,1
0x19E7f3b19A69f843D908A6D8010C3E3800aC3D7E,1
0x21790EaB4a23756F2E16C5711E33026bDc5a6740,1
0x24C456CbBcAB2066E6B344A02BAE0b2e7A8bE895,1
0x283ee752b62c028c33002232bA8900fC867368a8,1
0x2ddE22C26D9427C12F7536f9Cd28c266A93B5033,1
0x2FBF2DE396f58D796Ff1Dd0DC804B48B56530423,1
0x35036aC0b67A6C2e43931510CFB5EfdE45314f25,1
0x36Adf331356c2c41C4f473CeE305FE5FD8a1C84F,1
0x3a6a13AA18b37a29c39872CC113569DBcB6cfBb2,1
0x3Fd4B335cA5a81dDfd1E3899A2bd57dCa41213e0,1
0x43DB9dD1811D4A89482663aBdc6aB6ca0654C591,1
0x450E45C10B452B7Dc3FE61d399CEd36ed4b78C9F,1
0x4d5657730911393313748BE8a25cee23A315ad12,1
0x4E8d857c4AfaE9387723F40FcEC27D5ff3Ee2Bec,1
0x5481DDA6e80804c6a979E71FaB5C13b1dB563d56,1
0x5C443cA22E55e94c1E9BD1Ae1f5d3D8e2f612aF7,1
0x5e637a22309b4A3ecC51ABE05f5740C70b7E498f,1
0x5fc0ADE9695788611964c26273A4BDB010610C27,1
0x65c36f813b9A5A63E2C30F3C9a02653CB2DBe2a3,1
0x66F0fe77825A96c3b393f31F81Ec69Fd91DAffF8,1
0x6c2fb5D8528243a88d404011397066C76765daE1,1
0x71D15BA0C5d1eDe336Cc8D62708dFB04e7CD8d13,1
0x72b88e7bd586A488F20C6Bc3D5f3be7b3cAF25fc,1
0x7402C66B8D9FC2D4500736159a02FD1D3A14181d,1
0x81d44927bB42fD1114607f3B0bC0354E162E2103,1
0x8AE3936203e6B0B0963aEa8d752523397A9df4CD,1
0x935d446f8E9Fd9607c9B92bd27c719Dfc5Cd1F05,1
0x944ef002DBd06f5ff69f36fa2731A29723805714,1
0x95b1c5B4409b3299B5786276942685F1F125C469,1
0x9Af30d17Dad5F6B21eCA1BBb7997CB9f61886860,1
0x9b9A2BBced0f47Cb8EC23da0ef60A93cEF6c25d5,1
0x9ee35d42E469532b7bB5dfB2E94fA456E01C9c9f,1
0x9f6b0fbe614f65ff91ae8D170Bf32B2F9d81f64a,1
0xA2684D1034F77E7eC91d1A2Ec028DC2f1f1904D2,1
0xAa056c6381db5Fb9CE060269eb19b30B26B025E8,1
0xaEf6862193D47F0b1C2e30F6e49beBeDebC40fdC,1
0xB08380f240213287efa7Ec6Dc3b6f3eCc925a495,1
0xB311cB843b1A7E46bF0349eCf96e662DA505913A,1
0xb531Ccf78ad70A7709E42B67Db402Cc4E3f8442F,1
0xC53b7a40d374f5253bb099704bF9951581B7053C,1
0xc894f86C8461e6A2E94aB3a7e13A4757130898f2,1
0xC8c3b812430aac2e5d9306eb7632dcF93978BF10,1
0xCC8407A746f92c35B31483718f817562EaA011EC,1
0xd0aba30eEd05D9787899a04ea7638408436F7635,1
0xd51FFE694ecEcADf7D8a35c9Ec885a9C43a19812,1
0xd8A5eFf3d9Cb47638553C580fa7ad47f619295ca,1
0xdCB9E3a95b015E820828d21cA68B688aF1389076,1
0xdECDa2ffBBbCE9139ff1CE769d9e1a59bfB6A20C,1
0xE3026D701F4CB1dd54B1Baf298df624eC8E9dae6,1
0xeCf8C8e44B5740E45f4b51d7C9a25dB80e22bD14,1
0xfBeaEcBD5a9373B83AC2f283C1f90122d8c4739E,1
,
