token_type,token_address,receiver,amount
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xbc997a0206925c0c4637a030af7e1b86be31c544,39491
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xf66fe7cba3ed1e566d5c1feafb645493c6cf1d39,31842
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x5141c9b958ca8d2097f29124255951235763bb09,6518
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x1e4aa52b28b7933a89c091993d3b459564c45487,4803
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x67102752c2cc757dbdbc5b3b3223e24eaa09a1d0,4320
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x1cab13d773cf6ba49c699cbdbfada7ebe5d5d224,3470
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xf808c0402f7a1f14a7467a5d46ff4dc9f3e729e8,3217
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x75cc5ee2ab83f6cc2a09403e24885e1d436f5697,2604
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xb3456934ae9a8cca7c2871ecdf2364fdb903fc31,2528
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xa38cda935b26906d1f3900634b1f7a4915c16011,2382
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xb96c6475aa758ff3b5eb9fb605d324681a75f2ab,1570
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xa770fd77de7619b10301714c7733133b4a520210,1494
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x63e55cdcb9451873eb774c6e66d4962a39c17386,1455
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x042982c4bf95b0dad2452f0db1aad33b6ad5c893,1233
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x81444fd8ec08df63a02219a10ea0906d8c93925b,1187
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xa125ddbea4a910dfd492a42fac5b33542f6a71f2,1172
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xb7a458af8ed4d14fb9f89284ad26ecd4c02afa12,774
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xb96f63e3a7c380214704893f8f38f91caf413321,774
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x4069567588a2058184dae9be00a5a0b805a05168,766
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xc909fde43f44babd675aae27953b1320d090d749,766
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x8cc30992c17d08d3a3ee6b232b26381db99c9531,689
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x233c26467e0a929c75f5fffc5e766f0ca063e551,536
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x315828eee50d9ad0ea918155b661e841c5128b55,536
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x07e2456dc4e2c4cffbd1114c7a265f8d80e526f3,475
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xf85f074f8b7a6d6d4208fa8fbbef0301de0bb9f7,437
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xe805517c9d38b7198f9db7c0c247869567dec209,421
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xdab60ee75171b84f71bf2fb9b2d2e77aed814616,414
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x0a61583f1b69882d09673e9875c615c07ba4d845,406
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x753d3e0f8ad6fe487f7a0beb4dd95678480e9348,398
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x6c4a15a650a2d32cf71c291045dc35e0390bf2d1,391
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xa8e528d686e19efed1cf39a2393ea9f6ba3e5d1b,368
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xc313c8257ff407926a67ae48fefb68116de8129c,337
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xdd25707686f358b51b6506470e7b3b692af24fed,337
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x25c8a3407dc368935bb87bb66a5f2c2792d0d90c,329
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x6294625bf3544d045c7e5cd6af8cdc1a2e0f2de2,322
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xc6ce918f2757e7cc4d38830712a4d1d9a7e1522c,306
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xf3dbf679d5d1e5d97fd4d486276b1d361d2623a2,291
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x4ee77d7a485cfd4c7b522dcef34194608582adf7,260
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x4ff57f4a622db3dc7017aed300e2bc9e7962f4a1,245
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x3436f6c682f090aa2676e1fa20cc84a2c02c6e47,199
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x45b74f08d50f042c1ea2fc9c525b4e57e2ed63a6,199
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xf8165b7047952061d960d6d6f7d766f8aa9d18b3,199
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x77de78b96c9455daa94db1f9ab972a9aa400fd2b,191
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x8f28c4ee897cc3d75fc85c4594746aaf114aac4b,191
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x13f7f55d5cfd5aafa78b85c6c43dd670faefc7a7,184
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x99e01e398d7e1f6fece7633e0e37718f672734a0,161
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x1f0b25405c3e335aa0c0f2235d0da2361cc4694b,153
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x86c209e6a756125ee35812445cdeb50c2cf02799,153
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xab8c082d3e54b01e46b60ff24d54e37c540e5a99,153
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xdf8d07dd7cda8a0f5485ecf46483510ac0ca0383,153
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x1bea4ffe8bfe29aabc559997b3bee555f533e340,130
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x2ddd0332b3c9ba245542bb30676eb0462b3e4538,130
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xe8863494ebfbf800fdd0a009022be2a715ec329a,115
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xd0013d0d6afcc1ad69a8a5d898a178c5ec03af4b,100
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x18fd80a3b06c540c5b8e4268dccd4615165f32bb,84
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0xddef3dca5b27622e53bad51569db8f3f72edd1f8,84
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x0a31ad183a84e021fc9bdeeeccaadebc4eab76e2,77
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x239eb4148164a93008e35b3c707545bbf7cf7656,77
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x3dfbb0e222270e39d66dad432720507da3b166fb,77
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x4ea6728f89d1e55e855b925b4d0bdb557d0bdc9b,77
erc20,0xa52410B8b3Ce16d3f0E607ce8f86b3b4AC30fE2F,0x532fe4803fecf5bec78cb602c864792a490240a5,77
