address,quantity
0xbC997a0206925C0C4637A030aF7e1b86bE31c544,105
0xaD9f8c12dC9C3A465Cff5A28B3c2dc5802b865C5,16
0xfa332913f512eb5A36Dacb4038980d5F75009Fb6,8
0xBf85e0cc3dd60867755Fe6800Cbb10009a43b0F8,4
0xC313c8257fF407926A67ae48fefB68116de8129C,4
0xcBe796B2AD46769aB50CB8C6291e62B255Db5dEB,4
0x5141c9B958cA8d2097F29124255951235763bB09,3
0x3aA9144b53317FCd0AFa87f267547c06C3143d93,2
0x77De78b96c9455Daa94dB1f9Ab972a9AA400fD2b,2
0xBed5Cb25a75188C9237452a21A2fEdDF4fe6814b,2
0xdECDa2ffBBbCE9139ff1CE769d9e1a59bfB6A20C,2
0x00C0A71C4866b3c0240302CbdB1DEFe91E275EEC,1
0x2dDD0332b3c9BA245542bB30676Eb0462B3E4538,1
0x7d84260958Eb275a29c3805679bA2DfA480DD802,1
0xA38cDa935B26906d1F3900634b1f7a4915C16011,1
0xb8a93abA0cA55a3AF74B8BeBB4D060dCC816e0EF,1
0xb8cB87cfbd6C5E26C2Cae11A3F5a2E33a82BA0Ba,1
0xb96C6475aa758FF3b5EB9fb605d324681A75F2Ab,1
0xD2e0b492c4A030fd6356Ef6efedDC724BFdf323a,1
0xdaB60eE75171B84F71Bf2Fb9B2D2E77aED814616,1
0xF203aC318793490384281Dd3516f3Cb2Fe16865A,1
0xF3dBf679d5d1E5D97FD4d486276B1D361D2623a2,1
,
