token_type,token_address,receiver,amount
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x17E5aBA9BCF547AC1856aC7083CD7eEA64DEfFa0,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x1bE7f272051d898E721A8D6B3683c018385f1821,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x1C56688F5EAfcE36368aECa464ca8639ba39c502,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x1C60ee55b45b1c97aEB34fed0a068415c2f17345,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x1c7bC3F48d74441bcdC7DEfe66915B22B4A77DcC,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x1Fdb9676eD3B6581D160b339343E2210ee12DF98,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x2106BD09cBA806d65aD8132a2a601Cd7C3e4D430,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x24365c8Ea8FF6b7F14779a09BE1d31838389562d,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x25C8a3407dC368935bb87BB66a5f2C2792d0D90c,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x26a8c8D435047f18c7abf2C3216593a87C4f85c4,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x26EF92a93BDAc9f60186aDd5E7293Ae9eD1C438B,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x297eB0442E9f0e6D2A261C6BB996BA05d337Af67,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x2b4d5Bb5efD90Ab7d7d32aC035aF91D08304488A,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x2D40B81065642b23126a6924E304Dd8E8F078477,20000
erc20,0x924B16Dfb993EEdEcc91c6D08b831e94135dEaE1,0x2d511edd48EC946177363FDc4EE01D6ff85545f1,20000
